2.954283231182013858e-01,2.954276694575200812e-01,2.954257083553978314e-01,2.954224394559489819e-01,2.954178621626778467e-01,2.954119756447481371e-01,2.954047788295146026e-01,2.953962704060427158e-01,2.953864488235885544e-01,2.953753122901543460e-01,2.953628587747735845e-01,2.953490860022219278e-01,2.953339914545172751e-01,2.953175723693079457e-01,2.952998257385583969e-01,2.952807483071223094e-01,2.952603365712684891e-01,2.952385867770566663e-01,2.952154949186354682e-01,2.951910567362993620e-01,2.951652677145853443e-01,2.951381230792430865e-01,2.951096177982691082e-01,2.950797465751023863e-01,2.950485038486327372e-01,2.950158837903717468e-01,2.949818803013015689e-01,2.949464870091725865e-01,2.949096972655585458e-01,2.948715041423793370e-01,2.948319004289491896e-01,2.947908786282040783e-01,2.947484309531999691e-01,2.947045493233395042e-01,2.946592253604419231e-01,2.946124503846124232e-01,2.945642154100071020e-01,2.945145111403867921e-01,2.944633279645223478e-01,2.944106559513617882e-01,2.943564848451493132e-01,2.943008040602761999e-01,2.942436026757604961e-01,2.941848694298759281e-01,2.941245927143259498e-01,2.940627605671469746e-01,2.939993606719177310e-01,2.939343803405841116e-01,2.938678065192062427e-01,2.937996257723786142e-01,2.937298242795262082e-01,2.936583878271644688e-01,2.935853018012123394e-01,2.935105511791278321e-01,2.934341205217451121e-01,2.933559939648755499e-01,2.932761552105829783e-01,2.931945875181901640e-01,2.931112736949437747e-01,2.930261960863835280e-01,2.929393365663573445e-01,2.928506765267711032e-01,2.927601968668417931e-01,2.926678779821331178e-01,2.925736997530498096e-01,2.924776415320623491e-01,2.923796821370114873e-01,2.922797998267240849e-01,2.921779723031381337e-01,2.920741766820704188e-01,2.919683894941339508e-01,2.918605866594457532e-01,2.917507434772777519e-01,2.916388346099013651e-01,2.915248340664932658e-01,2.914087151865775716e-01,2.912904506228932711e-01,2.911700123236076188e-01,2.910473715139619832e-01,2.909224986772716015e-01,2.907953635351818722e-01,2.906659350273020359e-01,2.905341812900532616e-01,2.904000696347900368e-01,2.902635665251133701e-01,2.901246375533413357e-01,2.899832474162964968e-01,2.898393598887364919e-01,2.896929378027993107e-01,2.895439430089382093e-01,2.893923363627119993e-01,2.892380776840204892e-01,2.890811257319740868e-01,2.889214381724908853e-01,2.887589715456577166e-01,2.885936812318729561e-01,2.884255214167441572e-01,2.882544450545109771e-01,2.880804038301660319e-01,2.879033481200515832e-01,2.877232269509545914e-01
2.955525866013647418e-01,2.955519330258206678e-01,2.955499721782571254e-01,2.955467037034424926e-01,2.955421270046825755e-01,2.955362412511450820e-01,2.955290453700916697e-01,2.955205380506373269e-01,2.955107177419662445e-01,2.954995826520554481e-01,2.954871307499102873e-01,2.954733597602657857e-01,2.954582671650923809e-01,2.954418502019718895e-01,2.954241058628461758e-01,2.954050308924824342e-01,2.953846217870816915e-01,2.953628747926661524e-01,2.953397859032600437e-01,2.953153508591020437e-01,2.952895651446127423e-01,2.952624239854669264e-01,2.952339223495406562e-01,2.952040549401674929e-01,2.951728161961046926e-01,2.951402002887226761e-01,2.951062011188859135e-01,2.950708123141806971e-01,2.950340272260157382e-01,2.949958389262166691e-01,2.949562402038060638e-01,2.949152235614613815e-01,2.948727812121790248e-01,2.948289050751425888e-01,2.947835867718851532e-01,2.947368176222718295e-01,2.946885886402060839e-01,2.946388905291601468e-01,2.945877136776083316e-01,2.945350481541947341e-01,2.944808837028360382e-01,2.944252097375459343e-01,2.943680153369692132e-01,2.943092892390010151e-01,2.942490198349630992e-01,2.941871951635987026e-01,2.941238029049708103e-01,2.940588303728337016e-01,2.939922645135973345e-01,2.939240918881499964e-01,2.938542986779647537e-01,2.937828706683309754e-01,2.937097932444326931e-01,2.936350513830185416e-01,2.935586296442376231e-01,2.934805121631311464e-01,2.934006826410149871e-01,2.933191243363491574e-01,2.932358200555351679e-01,2.931507521431970797e-01,2.930639024722215269e-01,2.929752524334928721e-01,2.928847829251864932e-01,2.927924743417202325e-01,2.926983065623675051e-01,2.926022589395153584e-01,2.925043102864839928e-01,2.924044388635467784e-01,2.923026223705318949e-01,2.921988379218734555e-01,2.920930620474697648e-01,2.919852706627008576e-01,2.918754390680823319e-01,2.917635419232477156e-01,2.916495532354203557e-01,2.915334463421290212e-01,2.914151938940189313e-01,2.912947678370572113e-01,2.911721393942230951e-01,2.910472790464094239e-01,2.909201565127489952e-01,2.907907407302126601e-01,2.906589998324774493e-01,2.905249011279730231e-01,2.903884110772905758e-01,2.902494952695737762e-01,2.901081183983234002e-01,2.899642442348361326e-01,2.898178356075188922e-01,2.896688543631122381e-01,2.895172613531277750e-01,2.893630163932769950e-01,2.892060782382889772e-01,2.890464045495058643e-01,2.888839518622126068e-01,2.887186755517890391e-01,2.885505297985700435e-01,2.883794675512912353e-01,2.882054404891679633e-01,2.880283989825309643e-01,2.878482920518256605e-01
4.362483709955773392e-01,4.362480531881526846e-01,4.362470996916139043e-01,4.362455102995072553e-01,4.362432846607829373e-01,4.362404222851222202e-01,4.362369225416528051e-01,4.362327846583019531e-01,4.362280077235764497e-01,4.362225906808586129e-01,4.362165323327947819e-01,4.362098313406450045e-01,4.362024862195377217e-01,4.361944953407130843e-01,4.361858569297977217e-01,4.361765690658874206e-01,4.361666296804384557e-01,4.361560365561120145e-01,4.361447873255128171e-01,4.361328794697484912e-01,4.361203103174282059e-01,4.361070770383157491e-01,4.360931766600323334e-01,4.360786060343356807e-01,4.360633618672715706e-01,4.360474406966843297e-01,4.360308388988202721e-01,4.360135526845355658e-01,4.359955780963108429e-01,4.359769110083685506e-01,4.359575471208900765e-01,4.359374819596010253e-01,4.359167108726178519e-01,4.358952290277047226e-01,4.358730314093095526e-01,4.358501128155989335e-01,4.358264678553114835e-01,4.358020909444467184e-01,4.357769763028874199e-01,4.357511179508014032e-01,4.357245097049911031e-01,4.356971451750191737e-01,4.356690177592154600e-01,4.356401206405072779e-01,4.356104467821251824e-01,4.355799889230924649e-01,4.355487395735734291e-01,4.355166910100179423e-01,4.354838352701637105e-01,4.354501641477679930e-01,4.354156691872508866e-01,4.353803416780100410e-01,4.353441726483267549e-01,4.353071528604873230e-01,4.352692728027293123e-01,4.352305226838652508e-01,4.351908924262479772e-01,4.351503716587511450e-01,4.351089497094502434e-01,4.350666155981110506e-01,4.350233580282770185e-01,4.349791653791771906e-01,4.349340256972339946e-01,4.348879266873319493e-01,4.348408557036697042e-01,4.347927997403439049e-01,4.347437454214957420e-01,4.346936789911777788e-01,4.346425863026965319e-01,4.345904528077251805e-01,4.345372635448120358e-01,4.344830031275639382e-01,4.344276557323346610e-01,4.343712050854235951e-01,4.343136344497946499e-01,4.342549266112457063e-01,4.341950638640623139e-01,4.341340279960603232e-01,4.340718002730981628e-01,4.340083614228872899e-01,4.339436916182229376e-01,4.338777704594687923e-01,4.338105769564313263e-01,4.337420895093500040e-01,4.336722858892512744e-01,4.336011432173582647e-01,4.335286379437736093e-01,4.334547458251698515e-01,4.333794419016127608e-01,4.333027004722646014e-01,4.332244950700360198e-01,4.331447984364084625e-01,4.330635824921182375e-01,4.329808183098342034e-01,4.328964760839567605e-01,4.328105250994218056e-01,4.327229336991924025e-01,4.326336692501668302e-01,4.325426981077191146e-01,4.324499855785287616e-01,4.323554958817547034e-01
4.364451996200867101e-01,4.364448820850971855e-01,4.364439294068154784e-01,4.364423413774443095e-01,4.364401176473123867e-01,4.364372577260316466e-01,4.364337609827151909e-01,4.364296266461840657e-01,4.364248538028906443e-01,4.364194413996205224e-01,4.364133882390552888e-01,4.364066929813315565e-01,4.363993541428242140e-01,4.363913700952892216e-01,4.363827390649897553e-01,4.363734591316832945e-01,4.363635282275120653e-01,4.363529441359043637e-01,4.363417044902449526e-01,4.363298067702342520e-01,4.363172483093739618e-01,4.363040262809692593e-01,4.362901377039505868e-01,4.362755794383584296e-01,4.362603481889443247e-01,4.362444404951724142e-01,4.362278527345002099e-01,4.362105811188774496e-01,4.361926216927587419e-01,4.361739703305427818e-01,4.361546227342822935e-01,4.361345744301405869e-01,4.361138207696135805e-01,4.360923569210567452e-01,4.360701778704594300e-01,4.360472784176100403e-01,4.360236531728759468e-01,4.359992965539583598e-01,4.359742027824684563e-01,4.359483658803651185e-01,4.359217796662822608e-01,4.358944377516597024e-01,4.358663335367261582e-01,4.358374602063904146e-01,4.358078107258852030e-01,4.357773778362782902e-01,4.357461540498221431e-01,4.357141316451130786e-01,4.356813026620509066e-01,4.356476588966091135e-01,4.356131918950685300e-01,4.355778929499138363e-01,4.355417530916784186e-01,4.355047630844231521e-01,4.354669134190877755e-01,4.354281943069323590e-01,4.353885956728034690e-01,4.353481071480805875e-01,4.353067180634094258e-01,4.352644174411201550e-01,4.352211939873826818e-01,4.351770360840716556e-01,4.351319317803000741e-01,4.350858687836264838e-01,4.350388344509970029e-01,4.349908157792615748e-01,4.349417993953286765e-01,4.348917715460404176e-01,4.348407180875443756e-01,4.347886244743150996e-01,4.347354757477614462e-01,4.346812565243433069e-01,4.346259509832745560e-01,4.345695428537393878e-01,4.345120154015658098e-01,4.344533514154343967e-01,4.343935331924989041e-01,4.343325425234579318e-01,4.342703606770121905e-01,4.342069683837297966e-01,4.341423458192240070e-01,4.340764725863123230e-01,4.340093276982726067e-01,4.339408895577585579e-01,4.338711359384878619e-01,4.338000439643787121e-01,4.337275900881359392e-01,4.336537500690159086e-01,4.335784989495555797e-01,4.335018110314126649e-01,4.334236598501392534e-01,4.333440181488381615e-01,4.332628578507708994e-01,4.331801500306911024e-01,4.330958648849604908e-01,4.330099717003910165e-01,4.329224388216511565e-01,4.328332336172366901e-01,4.327423224439249649e-01,4.326496706096773504e-01,4.325552423347231445e-01
6.245248226705486516e-01,6.245232633692302526e-01,6.245185851839057944e-01,6.245107872930839576e-01,6.244998683197207079e-01,6.244858263300848700e-01,6.244686588540512284e-01,6.244483628442623058e-01,6.244249347265378169e-01,6.243983703414847097e-01,6.243686649956006196e-01,6.243358134220138300e-01,6.242998097933361024e-01,6.242606477188664682e-01,6.242183202380863216e-01,6.241728198196898614e-01,6.241241383577604829e-01,6.240722671680746236e-01,6.240171969842286392e-01,6.239589179534130725e-01,6.238974196320247190e-01,6.238326909808827869e-01,6.237647203602268986e-01,6.236934955244217704e-01,6.236190036163947736e-01,6.235412311616853609e-01,6.234601640616441731e-01,6.233757875895705736e-01,6.232880863799757920e-01,6.231970444240589879e-01,6.231026450616202750e-01,6.230048709732465273e-01,6.229037041722492729e-01,6.227991259961627168e-01,6.226911170979574361e-01,6.225796574368513969e-01,6.224647262687652560e-01,6.223463021364091796e-01,6.222243628589821940e-01,6.220988855204786505e-01,6.219698464624281442e-01,6.218372212666969379e-01,6.217009847472513284e-01,6.215611109368579523e-01,6.214175730742425019e-01,6.212703435908050187e-01,6.211193940959442994e-01,6.209646953660784563e-01,6.208062173251283067e-01,6.206439290323073621e-01,6.204777986655377608e-01,6.203077935051030112e-01,6.201338799166925542e-01,6.199560233338906601e-01,6.197741882400669144e-01,6.195883381496269937e-01,6.193984355886452686e-01,6.192044420748615829e-01,6.190063180969180845e-01,6.188040230929949814e-01,6.185975154281928567e-01,6.183867523734779548e-01,6.181716900793241543e-01,6.179522835530621983e-01,6.177284866330996493e-01,6.175002519628589592e-01,6.172675309637051244e-01,6.170302738070605475e-01,6.167884293854841715e-01,6.165419452828355684e-01,6.162907677434185105e-01,6.160348416400267535e-01,6.157741104409462096e-01,6.155085161758360179e-01,6.152379994003595032e-01,6.149624991597342216e-01,6.146819529508846802e-01,6.143962966833990125e-01,6.141054646390350369e-01,6.138093894299266884e-01,6.135080019552175967e-01,6.132012313562668071e-01,6.128890049702048204e-01,6.125712482819076765e-01,6.122478848742617386e-01,6.119188363765835081e-01,6.115840224113201495e-01,6.112433605387155300e-01,6.108967661996048681e-01,6.105441526559227672e-01,6.101854309293679446e-01,6.098205097369803207e-01,6.094492954271151230e-01,6.090716919079067759e-01,6.086876005780872401e-01,6.082969202527770403e-01,6.078995470869378304e-01,6.074953744959901147e-01,6.070842930733032494e-01,6.066661905047121550e-01,6.062409514795654708e-01
6.365366166165642436e-01,6.365355287316720734e-01,6.365322648931263094e-01,6.365268245554643878e-01,6.365192068054994490e-01,6.365094103728112795e-01,6.364974336154187728e-01,6.364832745271130632e-01,6.364669307331058956e-01,6.364483994961980251e-01,6.364276777052566558e-01,6.364047618805181994e-01,6.363796481704554475e-01,6.363523323490665184e-01,6.363228098182066583e-01,6.362910755996866730e-01,6.362571243369339324e-01,6.362209502917731685e-01,6.361825473419675525e-01,6.361419089785574910e-01,6.360990283030693027e-01,6.360538980244948570e-01,6.360065104561731797e-01,6.359568575123825118e-01,6.359049307048213473e-01,6.358507211389816671e-01,6.357942195100874105e-01,6.357354160983565983e-01,6.356743007675813573e-01,6.356108629563644863e-01,6.355450916762034330e-01,6.354769755058902181e-01,6.354065025864307215e-01,6.353336606156403388e-01,6.352584368426364980e-01,6.351808180620341915e-01,6.351007906079191301e-01,6.350183403476183930e-01,6.349334526751601038e-01,6.348461125045654629e-01,6.347563042628551200e-01,6.346640118827310273e-01,6.345692187950858765e-01,6.344719079212142177e-01,6.343720616646676413e-01,6.342696619029356553e-01,6.341646899787238834e-01,6.340571266910078885e-01,6.339469522856356898e-01,6.338341464459344987e-01,6.337186882819173528e-01,6.336005563222932846e-01,6.334797285006560363e-01,6.333561821464808173e-01,6.332298939732351473e-01,6.331008400666069402e-01,6.329689958722767296e-01,6.328343361833870251e-01,6.326968351274386837e-01,6.325564661528987331e-01,6.324132020152172240e-01,6.322670147624748216e-01,6.321178757204540810e-01,6.319657554773300268e-01,6.318106238676948205e-01,6.316524499561653183e-01,6.314912020203244936e-01,6.313268475331559326e-01,6.311593531450608863e-01,6.309886846645181846e-01,6.308148070385294348e-01,6.306376843361426454e-01,6.304572797184909705e-01,6.302735554293843467e-01,6.300864727633480600e-01,6.298959920469878737e-01,6.297020726142278368e-01,6.295046727816584475e-01,6.293037498228961635e-01,6.290992599421055820e-01,6.288911582466076844e-01,6.286793987183844079e-01,6.284639341846698368e-01,6.282447162874241764e-01,6.280216954516417704e-01,6.277948208518500106e-01,6.275640403809427115e-01,6.273293006105508107e-01,6.270905467572519543e-01,6.268477226438150529e-01,6.266007706596969928e-01,6.263496317199761521e-01,6.260942452227447053e-01,6.258345490047497739e-01,6.255704792953071802e-01,6.253019706683581314e-01,6.250289559925377159e-01,6.247513663792465533e-01,6.244691311284871205e-01,6.241821776724787441e-01,6.238904315168375403e-01
6.482758328700111150e-01,6.482745850916646901e-01,6.482708415213651598e-01,6.482646014869195561e-01,6.482558638540650842e-01,6.482446270359525364e-01,6.482308889938919183e-01,6.482146472322263264e-01,6.481958987958528207e-01,6.481746402809148710e-01,6.481508678161840287e-01,6.481245770717803945e-01,6.480957632540579327e-01,6.480644211058681492e-01,6.480305449006088514e-01,6.479941284418113678e-01,6.479551650597227264e-01,6.479136476081849283e-01,6.478695684613539063e-01,6.478229195100991822e-01,6.477736921581915830e-01,6.477218773183198719e-01,6.476674654078166116e-01,6.476104463441040293e-01,6.475508095394105768e-01,6.474885438976786256e-01,6.474236378066013931e-01,6.473560791337323872e-01,6.472858552203409888e-01,6.472129528752623706e-01,6.471373583685957609e-01,6.470590574249422966e-01,6.469780352167938675e-01,6.468942763568341636e-01,6.468077648907307742e-01,6.467184842891758878e-01,6.466264174397370335e-01,6.465315466384052856e-01,6.464338535807239161e-01,6.463333193526266118e-01,6.462299244209555038e-01,6.461236486235775178e-01,6.460144711590988242e-01,6.459023705763012879e-01,6.457873247630798730e-01,6.456693109350635229e-01,6.455483056237708572e-01,6.454242846643574172e-01,6.452972231829162686e-01,6.451670955834032384e-01,6.450338755339545260e-01,6.448975359523126949e-01,6.447580489934846559e-01,6.446153860313215134e-01,6.444695176451432639e-01,6.443204136030677986e-01,6.441680428452951634e-01,6.440123734668963262e-01,6.438533726999153828e-01,6.436910068949500685e-01,6.435252415020196182e-01,6.433560410508289973e-01,6.431833691304111866e-01,6.430071883679019384e-01,6.428274604067837350e-01,6.426441458843102916e-01,6.424572044080832933e-01,6.422665945319603331e-01,6.420722737310816663e-01,6.418741983759876923e-01,6.416723237059585028e-01,6.414666038013853155e-01,6.412569915550585531e-01,6.410434386428379705e-01,6.408258954928259810e-01,6.406043112538576390e-01,6.403786337618077029e-01,6.401488095093312847e-01,6.399147836054783767e-01,6.396764997428635580e-01,6.394339001593147831e-01,6.391869255990043630e-01,6.389355152715054942e-01,6.386796068128637316e-01,6.384191362384906698e-01,6.381540379011155784e-01,6.378842444439387638e-01,6.376096867527581979e-01,6.373302939063526518e-01,6.370459931251418739e-01,6.367567097179919200e-01,6.364623670270832534e-01,6.361628863708324033e-01,6.358581869847246271e-01,6.355481859600018435e-01,6.352327981801442203e-01,6.349119362546679080e-01,6.345855104524618095e-01,6.342534286287508927e-01,6.339155961533499140e-01,6.335719158343552371e-01
6.584782871570676877e-01,6.584768275580038521e-01,6.584724485048144560e-01,6.584651492292226127e-01,6.584549284506834299e-01,6.584417843790110192e-01,6.584257147004836108e-01,6.584067166018370276e-01,6.583847867376834140e-01,6.583599212583822746e-01,6.583321157877738417e-01,6.583013654318207175e-01,6.582676647715987039e-01,6.582310078633433204e-01,6.581913882349165190e-01,6.581487988831631331e-01,6.581032322707497384e-01,6.580546803228143338e-01,6.580031344234323898e-01,6.579485854108544363e-01,6.578910235766260994e-01,6.578304386561888428e-01,6.577668198295385515e-01,6.577001557105026652e-01,6.576304343480225967e-01,6.575576432164610408e-01,6.574817692091776689e-01,6.574027986393978784e-01,6.573207172244122098e-01,6.572355100852668164e-01,6.571471617381747787e-01,6.570556560875766561e-01,6.569609764185898593e-01,6.568631053892942662e-01,6.567620250226076095e-01,6.566577166978915248e-01,6.565501611421820094e-01,6.564393384210968074e-01,6.563252279293622093e-01,6.562078083808912110e-01,6.560870577987056862e-01,6.559629535051269000e-01,6.558354721090952077e-01,6.557045894961409660e-01,6.555702808162502393e-01,6.554325204717044162e-01,6.552912821043940239e-01,6.551465385828449950e-01,6.549982619885823532e-01,6.548464236022119023e-01,6.546909938889186042e-01,6.545319424834575850e-01,6.543692381746715192e-01,6.542028488895054172e-01,6.540327416763661583e-01,6.538588826880455951e-01,6.536812371640039476e-01,6.534997694120248113e-01,6.533144427893423645e-01,6.531252196830381607e-01,6.529320614898579400e-01,6.527349285953203406e-01,6.525337803520661062e-01,6.523285750576127695e-01,6.521192699311095797e-01,6.519058210900665618e-01,6.516881835244664467e-01,6.514663110736149676e-01,6.512401563969969498e-01,6.510096709488628619e-01,6.507748049497150689e-01,6.505355073571619240e-01,6.502917258359365293e-01,6.500434067267973903e-01,6.497904950144267611e-01,6.495329342941926765e-01,6.492706667378383978e-01,6.490036330579109780e-01,6.487317724710887079e-01,6.484550226601099032e-01,6.481733197344793362e-01,6.478865981898238591e-01,6.475947908657216923e-01,6.472978289021870113e-01,6.469956416945874533e-01,6.466881568466006369e-01,6.463753001231455908e-01,6.460569953984715008e-01,6.457331646056605479e-01,6.454037276819335478e-01,6.450686025152087000e-01,6.447277048833232049e-01,6.443809483964736406e-01,6.440282444346916435e-01,6.436695020836840087e-01,6.433046280676985029e-01,6.429335266829619977e-01,6.425560997224059046e-01,6.421722464038912559e-01,6.417818632924414679e-01,6.413848442203740063e-01
6.587119853186147456e-01,6.587105257261494096e-01,6.587061466852792702e-01,6.586988474329938947e-01,6.586886266869488304e-01,6.586754826590708323e-01,6.586594130364651356e-01,6.586404150063958074e-01,6.586184852241556698e-01,6.585936198427597699e-01,6.585658144873676179e-01,6.585350642657986642e-01,6.585013637614546278e-01,6.584647070328175644e-01,6.584250876103988626e-01,6.583824984938816405e-01,6.583369321489989101e-01,6.582883805041961356e-01,6.582368349470464342e-01,6.581822863189941142e-01,6.581247249167506697e-01,6.580641404799915106e-01,6.580005221918807656e-01,6.579338586729509553e-01,6.578641379761288599e-01,6.577913475799718190e-01,6.577154743874462639e-01,6.576365047129146824e-01,6.575544242830541064e-01,6.574692182246815175e-01,6.573808710610190564e-01,6.572893667037214005e-01,6.571946884457001703e-01,6.570968189530033143e-01,6.569957402569619465e-01,6.568914337457207875e-01,6.567838801555345718e-01,6.566730595616490085e-01,6.565589513688702139e-01,6.564415343012421911e-01,6.563207863939328757e-01,6.561966849796703194e-01,6.560692066797613187e-01,6.559383273922674285e-01,6.558040222802933306e-01,6.556662657597770449e-01,6.555250314869168760e-01,6.553802923451325091e-01,6.552320204314955321e-01,6.550801870428990537e-01,6.549247626614556061e-01,6.547657169395886267e-01,6.546030186846639731e-01,6.544366358428747033e-01,6.542665354827706947e-01,6.540926837781461112e-01,6.539150459903947388e-01,6.537335864502183957e-01,6.535482685387490331e-01,6.533590546680515532e-01,6.531659062609461719e-01,6.529687837301795250e-01,6.527676464568730186e-01,6.525624527682812870e-01,6.523531599141428883e-01,6.521397240453828958e-01,6.519221001859242248e-01,6.517002422096762615e-01,6.514741028136600276e-01,6.512436334910015612e-01,6.510087845027774378e-01,6.507695048491418666e-01,6.505257422393054823e-01,6.502774430606064193e-01,6.500245523465024711e-01,6.497670137434666815e-01,6.495047694767458468e-01,6.492377603150671916e-01,6.489659255338785515e-01,6.486892028776176655e-01,6.484075285205112005e-01,6.481208370261452023e-01,6.478290613052399838e-01,6.475321325727365629e-01,6.472299803026005938e-01,6.469225321814329188e-01,6.466097140595595816e-01,6.462914499045013805e-01,6.459676617446038493e-01,6.456382696186834247e-01,6.453031915201216107e-01,6.449623433394406913e-01,6.446156388049707475e-01,6.442629894213288688e-01,6.439043044056546039e-01,6.435394906207939636e-01,6.431684525095444638e-01,6.427910920194953581e-01,6.424073085319661480e-01,6.420169987849365656e-01,6.416200567936614085e-01
6.763478317477193968e-01,6.763467899632754632e-01,6.763436644079400262e-01,6.763384544748298755e-01,6.763311591493773589e-01,6.763217770179004162e-01,6.763103062552880962e-01,6.762967446301161312e-01,6.762810895043875892e-01,6.762633378291958985e-01,6.762434861448638479e-01,6.762215305789324171e-01,6.761974668438703873e-01,6.761712902358458788e-01,6.761429956310651690e-01,6.761125774839423785e-01,6.760800298241688155e-01,6.760453462532497459e-01,6.760085199426240088e-01,6.759695436282028291e-01,6.759284096079021253e-01,6.758851097371423311e-01,6.758396354254878613e-01,6.757919776310594706e-01,6.757421268559233862e-01,6.756900731433029827e-01,6.756358060685567768e-01,6.755793147372201046e-01,6.755205877777578083e-01,6.754596133346936204e-01,6.753963790645189924e-01,6.753308721269826176e-01,6.752630791794043130e-01,6.751929863691992217e-01,6.751205793263970190e-01,6.750458431558667982e-01,6.749687624291595966e-01,6.748893211760732536e-01,6.748075028758259153e-01,6.747232904476997417e-01,6.746366662421369176e-01,6.745476120307313250e-01,6.744561089949867583e-01,6.743621377166554298e-01,6.742656781663943777e-01,6.741667096923120717e-01,6.740652110078135806e-01,6.739611601797368401e-01,6.738545346148552273e-01,6.737453110472345630e-01,6.736334655239740732e-01,6.735189733911394194e-01,6.734018092788847110e-01,6.732819470860930133e-01,6.731593599644644099e-01,6.730340203020144241e-01,6.729058997059625957e-01,6.727749689850639481e-01,6.726411981311851696e-01,6.725045563003392290e-01,6.723650117929089731e-01,6.722225320332904097e-01,6.720770835486408190e-01,6.719286319470039182e-01,6.717771418943303541e-01,6.716225770912750415e-01,6.714649002491674956e-01,6.713040730635891906e-01,6.711400561881861737e-01,6.709728092089309870e-01,6.708022906139372576e-01,6.706284577658422341e-01,6.704512668704349920e-01,6.702706729455599755e-01,6.700866297884062739e-01,6.698990899415695477e-01,6.697080046579404478e-01,6.695133238641883811e-01,6.693149961229095668e-01,6.691129685932696303e-01,6.689071869902087908e-01,6.686975955420223494e-01,6.684841369463397909e-01,6.682667523243788210e-01,6.680453811733984004e-01,6.678199613164472748e-01,6.675904288544758369e-01,6.673567181078595700e-01,6.671187615639172508e-01,6.668764898193964008e-01,6.666298315187693113e-01,6.663787132933507440e-01,6.661230596952576466e-01,6.658627931300885594e-01,6.655978337863304173e-01,6.653280995616946969e-01,6.650535059877528132e-01,6.647739661479885598e-01,6.644893905979867288e-01,6.641996872754470926e-01,6.639047614119292229e-01
